,title,date,console
186,Kira Kira Pop Princess,2006,DS
187,Kirarin * Revolution: Atsumete Change! Kurikira * Code,2008,DS
188,Kirarin * Revolution: Kira Kira Idol Audition,2006,DS
189,Kirarin * Revolution: Mezase! Idol Queen,2010,DS
190,Kirarin * Revolution: Minna de Odorou Furi Furi Debut!,2008,DS
191,Kirarin * Revolution: Naasan to Issho,2010,DS
192,Kirarin * Revolution: Tsukutte Misechao! Kime * Kira Stage,2007,DS
193,Kirby Mass Attack,2011,DS
194,Kirby Super Star Ultra,2008,DS
195,Kirby: Squeak Squad,2006,DS
196,Kirby: Canvas Curse,2005,DS
197,Kirei Zukin Seikatsu,2010,DS
198,Kirei Zukin Seikatsu 2,2011,DS
199,Kirihara Shoten Forest: Eigo @ DS,2008,DS
200,Kirihara Shoten Kanshuu: Daigakusei Ryoku Kentei DS,2008,DS
201,Kirikou and the Wild Beasts,2008,DS
202,Knerten Gets Married,2010,DS
203,Knigge: Spielend zum guten Benehmen,2009,DS
204,Knights in the Nightmare,2008,DS
205,Knock 'Em Downs: World's Fair,2009,DS
206,Know How,2008,DS
207,Know How 2,2010,DS
208,Kobun Kanbun DS,2009,DS
209,Kodawari Saihai Simulation: Ocha no Ma Pro Yakyuu DS,2009,DS
210,Kodawari Saihai Simulation: Ocha no Ma Pro Yakyuu DS 2010 Nendohan,2010,DS
211,Koh-Lanta: Survie Dans La Jungle!,2009,DS
212,Koinu de Kururin,2008,DS
213,Koisuru Purin! Koi wa Daibouken! Dr. Kanmi no Yabou!?,2008,DS
214,Kokoro ga Uruou Birei Aquarium DS 2: Sekai no Uo to Ikura-Kujira Tachi,2008,DS
215,Koma Neko DS,2008,DS
216,Konami Classics Series: Arcade Hits,2007,DS
217,Konductra,2006,DS
218,Kono Quiz Yarou!!,2006,DS
219,Konzentration und Aufmerksamkeit 1.-4. Klasse,2010,DS
220,Korede Haji o Kakanai: Ashita Tsukaeru DS Business Manner,2007,DS
221,Kotoba no Puzzle: Mojipittan DS,2007,DS
222,"Kou Rate Ura Mahjong Retsuden Mukoubuchi: Goburei, Shuuryou desu ne",2007,DS
