player1,player2,score1,score2,round,tourneyName,eventName,date
KudoGio,azormx,-1,0,Winners Round 2,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
Smuggles,KidFrost,3,1,Winners Round 2,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
Lavender_B,Zaran,0,3,Winners Round 2,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
Coach Steve,ArticPeach,3,1,Winners Round 2,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
Papa Leo,Ronincat,3,0,Winners Round 2,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
Tenack,WyCry,-1,0,Winners Round 2,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
CreakyAxe,ElCreeblue,2,3,Winners Round 2,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
Dusty,Tarik,3,0,Winners Round 2,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
Nitro,HEARTS,3,2,Winners Round 2,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
WATER-1,Queenie,3,0,Winners Round 2,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
Jdjones,Kunbuns,3,2,Winners Round 2,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
Kunbuns,Goldiblockz,0,-1,Losers Round 1,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
Queenie,PizzaSlut,3,0,Losers Round 1,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
Lavender_B,Nao,3,0,Losers Round 1,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
KidFrost,Llamas123,3,0,Losers Round 1,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
Mike Nada,Fresh,1,3,Losers Round 1,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
Somnium,Light Strider,3,0,Losers Round 1,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
Apotheosis,LunarxTee,0,-1,Losers Round 1,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
Supreme Honkifex,Shouma,3,0,Losers Round 1,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
Miguel,Marvelo,3,1,Losers Final,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
Papple,Marvelo,2,3,Losers Semi-Final,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
Papple,Miguel,0,3,Winners Semi-Final,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
PizzaSlut,Asar,0,3,Winners Round 1,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
saturnnz,Goldiblockz,0,-1,Winners Round 1,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
Llamas123,Dahviess,1,3,Winners Round 1,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
Nao,Turkwise,0,3,Winners Round 1,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
Marvelo,Jdjones,0,3,Winners Semi-Final,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
PORK LAZER,Fresh,3,1,Winners Round 1,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
Light Strider,EloDad,0,3,Winners Round 1,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
ArticPeach,LunarxTee,0,-1,Winners Round 1,tns-guilty-gear-strive-45-pc,guilty-gear-strive-pc,7.11.22
