,opponent,result,score,round,tourneyName,eventName,date
68,MFCR,win,3-2,Round 1,run-it-thursdays-14-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-pc,2022-10-13
69,Penguy,win,3-0,Round 1,run-it-thursdays-14-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-pc,2022-10-13
70,Shine,win,3-1,Round 1,run-it-thursdays-14-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-pc,2022-10-13
71,MFCR,win,3-2,Round 1,run-it-thursdays-14-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-pc,2022-10-13
72,Solstice,win,3-0,Round 1,run-it-thursdays-14-guilty-gear-strive,guilty-gear-strive-east-coast-ladder-pc,2022-10-13
73,NeoVermillion,win,3-0,Losers Round 2,tns-guilty-gear-strive-56-pc,guilty-gear-strive-pc,2022-10-24
74,Hotashi,win,3-1,Losers Quarter-Final,tns-guilty-gear-strive-56-pc,guilty-gear-strive-pc,2022-10-24
75,Razzo,loss,1-3,Losers Semi-Final,tns-guilty-gear-strive-56-pc,guilty-gear-strive-pc,2022-10-24
76,Yurikov,win,3-0,Losers Round 1,tns-guilty-gear-strive-56-pc,guilty-gear-strive-pc,2022-10-24
77,Marvelo,win,3-1,Winners Quarter-Final,tns-guilty-gear-strive-56-pc,guilty-gear-strive-pc,2022-10-24
78,NBNHMR,loss,1-3,Winners Semi-Final,tns-guilty-gear-strive-56-pc,guilty-gear-strive-pc,2022-10-24
79,Espi0,win,3-0,Winners Quarter-Final,9moons-weekly-41-make-or-break-final-qualifier,double-elimination-bracket,2022-11-05
80,NBNHMR,win,3-1,Grand Final,9moons-weekly-41-make-or-break-final-qualifier,double-elimination-bracket,2022-11-05
81,Chetoo,win,3-0,Winners Semi-Final,9moons-weekly-41-make-or-break-final-qualifier,double-elimination-bracket,2022-11-05
82,Remi Celeste,win,3-2,Winners Semi-Final,9moons-weekly-41-make-or-break-final-qualifier,double-elimination-bracket,2022-11-05
83,NBNHMR,win,3-1,Winners Final,9moons-weekly-41-make-or-break-final-qualifier,double-elimination-bracket,2022-11-05
84,Dwarl Warberry,win,3-2,Winners Round 2,9moons-weekly-41-make-or-break-final-qualifier,double-elimination-bracket,2022-11-05
85,Aarondamac,loss,0-3,Winners Final,tns-guilty-gear-strive-57-pc,guilty-gear-strive-pc,2022-11-07
86,Burstdragon1,win,3-0,Winners Round 2,tns-guilty-gear-strive-57-pc,guilty-gear-strive-pc,2022-11-07
87,NBNHMR,win,3-1,Winners Semi-Final,tns-guilty-gear-strive-57-pc,guilty-gear-strive-pc,2022-11-07
88,NBNHMR,loss,1-3,Losers Final,tns-guilty-gear-strive-57-pc,guilty-gear-strive-pc,2022-11-07
